 ______________________
| Not       | True?    |
|___________|__________|
| not False | False    |
|___________|__________|

 ___________________________
| OR             | True?    |
|________________|__________|
| True or False  | True     |
|________________|__________|
| True or True   | True     |
|________________|__________|
| False or True  | True     |
|________________|__________|
| False or False | False    |
|________________|__________|

 ____________________________
| AND             | True?    |
|_________________|__________|
| True and False  | False    |
|_________________|__________|
| True and True   | True     |
|_________________|__________|
| False and True  | False    |
|_________________|__________|
| False and False | False    |
|_________________|__________|

 ________________________________
| NOT OR              | True?    |
|_____________________|__________|
| not(True or False)  | False    |
|_____________________|__________|
| not(True or True)   | False    |
|_____________________|__________|
| not(False or True)  | False    |
|_____________________|__________|
| not(False or False) | True     |
|_____________________|__________|

 _________________________________
| NOT AND              | True?    |
|______________________|__________|
| not(True and False)  | False    |
|______________________|__________|
| not(True and True)   | False    |
|______________________|__________|
| not(False and True)  | False    |
|______________________|__________|
| not(False and False) | True     |
|______________________|__________|

 ____________________
| !=        | True?  |
|___________|________|
| 1 != 0    | True   |
|___________|________|
| 1 != 1    | False  |
|___________|________|
| 0 != 1    | True   |
|___________|________|
| 0 != 0    | False  |
|___________|________|

 ____________________
| ==        | True?  |
|___________|________|
| 1 == 0    | False  |
|___________|________|
| 1 == 1    | True   |
|___________|________|
| 0 == 1    | False  |
|___________|________|
| 0 == 0    | True   |
|___________|________|
